Source,Target,Type,Label,Src_Label,Tgt_Label,Scr_Role,Tgt_Role,Src_Title,Charter,Year
Osmund of Oakley,"""H"", Abbot of Reading",Directed,witnesses,Osmundo,"Abbot ""H""",Witness,Grantor,,844,1186-1213
"Simon, the stable-keeper","""H"", Abbot of Reading",Directed,witnesses,Simone,"Abbot ""H""",Witness,Grantor,Stable-keeper (stabulario),844,1186-1213
William Crawe,"""H"", Abbot of Reading",Directed,witnesses,Willelm,"Abbot ""H""",Witness,Grantor,,844,1186-1213
"Achelmann, the cook","""H"", Abbot of Reading",Directed,witnesses,Alemann,"Abbot ""H""",Witness,Grantor,cook,844,1186-1213
"John, the cook","""H"", Abbot of Reading",Directed,witnesses,Johanne,"Abbot ""H""",Witness,Grantor,cook,844,1186-1213
Gilbert,"""H"", Abbot of Reading",Directed,witnesses,Gilbert,"Abbot ""H""",Witness,Grantor,,844,1186-1213
Walter of Oxford,"""H"", Abbot of Reading",Directed,witnesses,Walter,"Abbot ""H""",Witness,Grantor,,844,1186-1213
"Hamo, son of Walter of Oxford","""H"", Abbot of Reading",Directed,witnesses,Hamone,"Abbot ""H""",Witness,Grantor,,844,1186-1213
Walter of Stokes,"""H"", Abbot of Reading",Directed,witnesses,Walter,"Abbot ""H""",Witness,Grantor,,844,1186-1213
"Walter, son of Walter of Stokes","""H"", Abbot of Reading",Directed,witnesses,Walter,"Abbot ""H""",Witness,Grantor,,844,1186-1213
"Raymond, the merchant","""H"", Abbot of Reading",Directed,witnesses,Ramundo,"Abbot ""H""",Witness,Grantor,Merchant (mercatore),844,1186-1213
Gilbert,"""H"", Abbot of Reading",Directed,witnesses,Gilbert,"Abbot ""H""",Witness,Grantor,,844,1186-1213
Martin,"""H"", Abbot of Reading",Directed,witnesses,Martin,"Abbot ""H""",Witness,Grantor,,844,1186-1213
Hugh,"""H"", Abbot of Reading",Directed,witnesses,Hugone,"Abbot ""H""",Witness,Grantor,,844,1186-1213
"Alan, brother of Raymond","""H"", Abbot of Reading",Directed,witnesses,Alan,"Abbot ""H""",Witness,Grantor,,844,1186-1213
Ralph Wille,"""H"", Abbot of Reading",Directed,witnesses,Radulfo,"Abbot ""H""",Witness,Grantor,,844,1186-1213
Gilbert Conpernays,"""H"", Abbot of Reading",Directed,witnesses,Gilbert,"Abbot ""H""",Witness,Grantor,,844,1186-1213
Jordan Wille,"""H"", Abbot of Reading",Directed,witnesses,Jordan,"Abbot ""H""",Witness,Grantor,,844,1186-1213
Jordan Conpernays,"""H"", Abbot of Reading",Directed,witnesses,Jordan,"Abbot ""H""",Witness,Grantor,,844,1186-1213
John of Cataine,"""H"", Abbot of Reading",Directed,witnesses,Johanne,"Abbot ""H""",Witness,Grantor,,844,1186-1213
Roger of the Chamber,"""H"", Abbot of Reading",Directed,witnesses,Roger,"Abbot ""H""",Witness,Grantor,,844,1186-1213
"Godard, the clerk",William Chamberlain,Directed,witnesses,Gautero,William Chamberlain,Witness,Recipient,Clerk (clerico),844,1186-1213
"Reginald, the chamberlain",William Chamberlain,Directed,witnesses,Reginald,William Chamberlain,Witness,Recipient,Chamberlain (camberlano),844,1186-1213
"William, the butler",William Chamberlain,Directed,witnesses,Willelm,William Chamberlain,Witness,Recipient,Cup-bearer (pincerna),844,1186-1213
"Lambert, the cook",William Chamberlain,Directed,witnesses,Lambert,William Chamberlain,Witness,Recipient,Cook,844,1186-1213
Archenbald,William Chamberlain,Directed,witnesses,Archenbaudo,William Chamberlain,Witness,Recipient,,844,1186-1213
Osmund of Oakley,William Chamberlain,Directed,witnesses,Osmundo,William Chamberlain,Witness,Recipient,,844,1186-1213
"Simon, the stable-keeper",William Chamberlain,Directed,witnesses,Simone,William Chamberlain,Witness,Recipient,Stable-keeper (stabulario),844,1186-1213
William Crawe,William Chamberlain,Directed,witnesses,Willelm,William Chamberlain,Witness,Recipient,,844,1186-1213
"Achelmann, the cook",William Chamberlain,Directed,witnesses,Alemann,William Chamberlain,Witness,Recipient,cook,844,1186-1213
"John, the cook",William Chamberlain,Directed,witnesses,Johanne,William Chamberlain,Witness,Recipient,cook,844,1186-1213
Gilbert,William Chamberlain,Directed,witnesses,Gilbert,William Chamberlain,Witness,Recipient,,844,1186-1213
Walter of Oxford,William Chamberlain,Directed,witnesses,Walter,William Chamberlain,Witness,Recipient,,844,1186-1213
"Hamo, son of Walter of Oxford",William Chamberlain,Directed,witnesses,Hamone,William Chamberlain,Witness,Recipient,,844,1186-1213
Walter of Stokes,William Chamberlain,Directed,witnesses,Walter,William Chamberlain,Witness,Recipient,,844,1186-1213
"Walter, son of Walter of Stokes",William Chamberlain,Directed,witnesses,Walter,William Chamberlain,Witness,Recipient,,844,1186-1213
"Raymond, the merchant",William Chamberlain,Directed,witnesses,Ramundo,William Chamberlain,Witness,Recipient,Merchant (mercatore),844,1186-1213
Gilbert,William Chamberlain,Directed,witnesses,Gilbert,William Chamberlain,Witness,Recipient,,844,1186-1213
Martin,William Chamberlain,Directed,witnesses,Martin,William Chamberlain,Witness,Recipient,,844,1186-1213
Hugh,William Chamberlain,Directed,witnesses,Hugone,William Chamberlain,Witness,Recipient,,844,1186-1213
"Alan, brother of Raymond",William Chamberlain,Directed,witnesses,Alan,William Chamberlain,Witness,Recipient,,844,1186-1213
Ralph Wille,William Chamberlain,Directed,witnesses,Radulfo,William Chamberlain,Witness,Recipient,,844,1186-1213
Gilbert Conpernays,William Chamberlain,Directed,witnesses,Gilbert,William Chamberlain,Witness,Recipient,,844,1186-1213
Jordan Wille,William Chamberlain,Directed,witnesses,Jordan,William Chamberlain,Witness,Recipient,,844,1186-1213
Jordan Conpernays,William Chamberlain,Directed,witnesses,Jordan,William Chamberlain,Witness,Recipient,,844,1186-1213
John of Cataine,William Chamberlain,Directed,witnesses,Johanne,William Chamberlain,Witness,Recipient,,844,1186-1213
Roger of the Chamber,William Chamberlain,Directed,witnesses,Roger,William Chamberlain,Witness,Recipient,,844,1186-1213
"""H"", Abbot of Reading",Godrey of Binfield,Directed,leases to,"Abbot ""H""",Godfrey of Binfield,Grantor,Recipient,,845,1186-1213
William Chamberlain,"""H"", Abbot of Reading",Directed,witnesses,Willelm Chamberlain,"Abbot ""H""",Witness,Grantor,Chamberlain (camberlano),845,1186-1213
"Raymond, the merchant","""H"", Abbot of Reading",Directed,witnesses,Ramundo,"Abbot ""H""",Witness,Grantor,,845,1186-1213
"Alan, brother of Raymond","""H"", Abbot of Reading",Directed,witnesses,Alan,"Abbot ""H""",Witness,Grantor,,845,1186-1213
Walter of Oxford,"""H"", Abbot of Reading",Directed,witnesses,Walter de Oxonia,"Abbot ""H""",Witness,Grantor,,845,1186-1213
"Walter, son-in-law of Walter of Oxford","""H"", Abbot of Reading",Directed,witnesses,Walter,"Abbot ""H""",Witness,Grantor,,845,1186-1213
"Turgis, Geoffrey's son-in-law","""H"", Abbot of Reading",Directed,witnesses,Turgis,"Abbot ""H""",Witness,Grantor,,845,1186-1213
Edward Gentil,"""H"", Abbot of Reading",Directed,witnesses,Edward Gentil,"Abbot ""H""",Witness,Grantor,,845,1186-1213
"Simon, the stable-keeper","""H"", Abbot of Reading",Directed,witnesses,Simone,"Abbot ""H""",Witness,Grantor,Stable-keeper (stabulario),845,1186-1213
William Chamberlain,Godrey of Binfield,Directed,witnesses,Willelm Chamberlain,Godfrey of Binfield,Witness,Recipient,Chamberlain (camberlano),845,1186-1213
"Raymond, the merchant",Godrey of Binfield,Directed,witnesses,Ramundo,Godfrey of Binfield,Witness,Recipient,,845,1186-1213
"Alan, brother of Raymond",Godrey of Binfield,Directed,witnesses,Alan,Godfrey of Binfield,Witness,Recipient,,845,1186-1213
Walter of Oxford,Godrey of Binfield,Directed,witnesses,Walter de Oxonia,Godfrey of Binfield,Witness,Recipient,,845,1186-1213
"Walter, son-in-law of Walter of Oxford",Godrey of Binfield,Directed,witnesses,Walter,Godfrey of Binfield,Witness,Recipient,,845,1186-1213
"Turgis, Geoffrey's son-in-law",Godrey of Binfield,Directed,witnesses,Turgis,Godfrey of Binfield,Witness,Recipient,,845,1186-1213
Edward Gentil,Godrey of Binfield,Directed,witnesses,Edward Gentil,Godfrey of Binfield,Witness,Recipient,,845,1186-1213
"Simon, the stable-keeper",Godrey of Binfield,Directed,witnesses,Simone,Godfrey of Binfield,Witness,Recipient,Stable-keeper (stabulario),845,1186-1213
"""H"", Abbot of Reading",Osbert of Waltham,Directed,leases to,"Abbot ""H""",Osbert of Waltham,Grantor,Recipient,,846,1186-1213
William of Waltham,"""H"", Abbot of Reading",Directed,witnesses,Willelm de Waltham,"Abbot ""H""",Witness,Grantor,,846,1186-1213
Master Hamon,"""H"", Abbot of Reading",Directed,witnesses,Hamone,"Abbot ""H""",Witness,Grantor,Magistro,846,1186-1213
Meuselmus of Bolney,"""H"", Abbot of Reading",Directed,witnesses,Meuselmo de Bulhud,"Abbot ""H""",Witness,Grantor,,846,1186-1213
"Nicholas, brother of Meuselmus of Bolney","""H"", Abbot of Reading",Directed,witnesses,Nicholao,"Abbot ""H""",Witness,Grantor,,846,1186-1213
Hugh of Shottesbrooke,"""H"", Abbot of Reading",Directed,witnesses,Hugone de Suloc,"Abbot ""H""",Witness,Grantor,,846,1186-1213
"Robert, brother of Hugh of Shottesbrooke","""H"", Abbot of Reading",Directed,witnesses,Roberto,"Abbot ""H""",Witness,Grantor,,846,1186-1213
Wyce of Shottesbrooke,"""H"", Abbot of Reading",Directed,witnesses,Wyce de Sulk,"Abbot ""H""",Witness,Grantor,,846,1186-1213
"Godard, clerk of Leomenstria","""H"", Abbot of Reading",Directed,witnesses,Leomenstria,"Abbot ""H""",Witness,Grantor,Clerk,846,1186-1213
William Chamberlain,"""H"", Abbot of Reading",Directed,witnesses,Chamberlain,"Abbot ""H""",Witness,Grantor,Chamberlain (camberlano),846,1186-1213
"William, the steward","""H"", Abbot of Reading",Directed,witnesses,Willelm,"Abbot ""H""",Witness,Grantor,Manager (dispensatore),846,1186-1213
"Ralph, the janitor","""H"", Abbot of Reading",Directed,witnesses,Radulfo,"Abbot ""H""",Witness,Grantor,Janitor (ianitore),846,1186-1213
"Lambert, the cook","""H"", Abbot of Reading",Directed,witnesses,Lambert,"Abbot ""H""",Witness,Grantor,cook,846,1186-1213
Ernald Rufus,"""H"", Abbot of Reading",Directed,witnesses,Ernalldo Rufo,"Abbot ""H""",Witness,Grantor,,846,1186-1213
"Raymond, the merchant","""H"", Abbot of Reading",Directed,witnesses,Ramundo,"Abbot ""H""",Witness,Grantor,Merchant (mercatore),846,1186-1213
"Alan, brother of Raymond","""H"", Abbot of Reading",Directed,witnesses,Alan,"Abbot ""H""",Witness,Grantor,,846,1186-1213
Ralph Wille,"""H"", Abbot of Reading",Directed,witnesses,Radulfo Wille,"Abbot ""H""",Witness,Grantor,,846,1186-1213
Walter Wille,"""H"", Abbot of Reading",Directed,witnesses,Walter Wille,"Abbot ""H""",Witness,Grantor,,846,1186-1213
Walter of Oxford,"""H"", Abbot of Reading",Directed,witnesses,Walter de Oxonia,"Abbot ""H""",Witness,Grantor,,846,1186-1213
"William, the vitner","""H"", Abbot of Reading",Directed,witnesses,Willelm,"Abbot ""H""",Witness,Grantor,Winemaker (vinitore),846,1186-1213
Hugh Maisent,"""H"", Abbot of Reading",Directed,witnesses,Hugone,"Abbot ""H""",Witness,Grantor,,846,1186-1213
"Daniel, the clerk","""H"", Abbot of Reading",Directed,witnesses,Daniele,"Abbot ""H""",Witness,Grantor,Clerk (clerico),846,1186-1213
"Hugh, the merchant","""H"", Abbot of Reading",Directed,witnesses,Hugone,"Abbot ""H""",Witness,Grantor,Merchant (mercatore),846,1186-1213
William of Waltham,Osbert of Waltham,Directed,witnesses,Willelm de Waltham,Osbert of Waltham,Witness,Recipient,,846,1186-1213
Master Hamon,Osbert of Waltham,Directed,witnesses,Hamone,Osbert of Waltham,Witness,Recipient,Magistro,846,1186-1213
Meuselmus of Bolney,Osbert of Waltham,Directed,witnesses,Meuselmo de Bulhud,Osbert of Waltham,Witness,Recipient,,846,1186-1213
"Nicholas, brother of Meuselmus of Bolney",Osbert of Waltham,Directed,witnesses,Nicholao,Osbert of Waltham,Witness,Recipient,,846,1186-1213
Hugh of Shottesbrooke,Osbert of Waltham,Directed,witnesses,Hugone de Suloc,Osbert of Waltham,Witness,Recipient,,846,1186-1213
"Robert, brother of Hugh of Shottesbrooke",Osbert of Waltham,Directed,witnesses,Roberto,Osbert of Waltham,Witness,Recipient,,846,1186-1213
Wyce of Shottesbrooke,Osbert of Waltham,Directed,witnesses,Wyce de Sulk,Osbert of Waltham,Witness,Recipient,,846,1186-1213
"Godard, clerk of Leomenstria",Osbert of Waltham,Directed,witnesses,Leomenstria,Osbert of Waltham,Witness,Recipient,Clerk,846,1186-1213
William Chamberlain,Osbert of Waltham,Directed,witnesses,Chamberlain,Osbert of Waltham,Witness,Recipient,Chamberlain (camberlano),846,1186-1213
"William, the steward",Osbert of Waltham,Directed,witnesses,Willelm,Osbert of Waltham,Witness,Recipient,Manager (dispensatore),846,1186-1213
"Ralph, the janitor",Osbert of Waltham,Directed,witnesses,Radulfo,Osbert of Waltham,Witness,Recipient,Janitor (ianitore),846,1186-1213
"Lambert, the cook",Osbert of Waltham,Directed,witnesses,Lambert,Osbert of Waltham,Witness,Recipient,cook,846,1186-1213
Ernald Rufus,Osbert of Waltham,Directed,witnesses,Ernalldo Rufo,Osbert of Waltham,Witness,Recipient,,846,1186-1213
"Raymond, the merchant",Osbert of Waltham,Directed,witnesses,Ramundo,Osbert of Waltham,Witness,Recipient,Merchant (mercatore),846,1186-1213
"Alan, brother of Raymond",Osbert of Waltham,Directed,witnesses,Alan,Osbert of Waltham,Witness,Recipient,,846,1186-1213
Ralph Wille,Osbert of Waltham,Directed,witnesses,Radulfo Wille,Osbert of Waltham,Witness,Recipient,,846,1186-1213
Walter Wille,Osbert of Waltham,Directed,witnesses,Walter Wille,Osbert of Waltham,Witness,Recipient,,846,1186-1213
Walter of Oxford,Osbert of Waltham,Directed,witnesses,Walter de Oxonia,Osbert of Waltham,Witness,Recipient,,846,1186-1213
"William, the vitner",Osbert of Waltham,Directed,witnesses,Willelm,Osbert of Waltham,Witness,Recipient,Winemaker (vinitore),846,1186-1213
Hugh Maisent,Osbert of Waltham,Directed,witnesses,Hugone,Osbert of Waltham,Witness,Recipient,,846,1186-1213
"Daniel, the clerk",Osbert of Waltham,Directed,witnesses,Daniele,Osbert of Waltham,Witness,Recipient,Clerk (clerico),846,1186-1213
"Hugh, the merchant",Osbert of Waltham,Directed,witnesses,Hugone,Osbert of Waltham,Witness,Recipient,Merchant (mercatore),846,1186-1213
Walter of Oxford,"""H"", Abbot of Reading",Directed,grants to,Walter of Oxford,"Abbot ""H""",Grantor,Recipient,,847,1193-1213
Robert of Herewardsley,Reading Abbey,Directed,gives to,Robert,Reading,Grantor,Recipient,,1049,1193-1213
William of Coley,Robert of Herewardsley,Directed,witnesses,Willelm,Robert of Herewardsley,Witness,Grantor,,1049,1193-1213
Gilbert of Felda,Robert of Herewardsley,Directed,witnesses,Gilberto,Robert of Herewardsley,Witness,Grantor,,1049,1193-1213
Walter of Oxford,Robert of Herewardsley,Directed,witnesses,Walter,Robert of Herewardsley,Witness,Grantor,,1049,1193-1213
Roger of Coley,Robert of Herewardsley,Directed,witnesses,Roger,Robert of Herewardsley,Witness,Grantor,,1049,1193-1213
Andrew of Wallingford,Robert of Herewardsley,Directed,witnesses,Andrea,Robert of Herewardsley,Witness,Grantor,,1049,1193-1213
Simon of Wallingford,Robert of Herewardsley,Directed,witnesses,Simone,Robert of Herewardsley,Witness,Grantor,,1049,1193-1213
William of Coley,Reading Abbey,Directed,witnesses,Willelm,Reading Abbey,Witness,Recipient,,1049,1193-1213
Gilbert of Felda,Reading Abbey,Directed,witnesses,Gilberto,Reading Abbey,Witness,Recipient,,1049,1193-1213
Walter of Oxford,Reading Abbey,Directed,witnesses,Walter,Reading Abbey,Witness,Recipient,,1049,1193-1213
Roger of Coley,Reading Abbey,Directed,witnesses,Roger,Reading Abbey,Witness,Recipient,,1049,1193-1213
Andrew of Wallingford,Reading Abbey,Directed,witnesses,Andrea,Reading Abbey,Witness,Recipient,,1049,1193-1213
Simon of Wallingford,Reading Abbey,Directed,witnesses,Simone,Reading Abbey,Witness,Recipient,,1049,1193-1213
"Walter, son of Aldwin Wille","Aldwin, father of Walter",Undirected,related to,Walter,Aldwin,Son,Father,,NA,NA
"Alan, brother of Raymond","Raymond, the merchant",Undirected,related to,Alan,Ramund,Brother,Brother,,NA,NA
Jordan Wille,Ralph Wille,Undirected,related to,Jordan,Radulfo,Brother,Brother,,NA,NA
"Nicholas, brother of Meuselmus of Bolney",Meuselmus of Bolney,Undirected,related to,Nicholao,Meuselmo,Brother,Brother,,NA,NA
"Robert, brother of Hugh of Shottesbrooke","Hugh, brother of Robert",Undirected,related to,Robert,Hugone,Brother,Brother,,NA,NA
"Ralph, father of Raymond","Raymond, son of Ralph the steward",Undirected,related to,Radulfo,Remundo,Father,Son,,NA,NA
John de la Rivera,"Gerold, son of John de la Rivera",Undirected,related to,Johanne de la Rivera,Geroldo,Father,Son,,NA,NA
Azo of Sonning,"Richard, step-son of Azo of Sonning",Undirected,related to,Azone de Sunnyngges,Ricardo,Father,Step-Son,,NA,NA
Hugh of Dunesden,"Richard, son of Hugh of Dunesden",Undirected,related to,Hugone de Dunesdene,Ricardo,Father,Son,,NA,NA
Robert of Waltham,"William, son of Robert of Waltham",Undirected,related to,Robert de Waltham,Willelm,Father,Son,,NA,NA
Gilbert super Pontem,"Gilbert, son of Gilbert super Pontem",Undirected,related to,Gilbert super pontem,Gilbert,Father,Son,,NA,NA
Walter of Oxford,"Walter, son-in-law of Walter of Oxford",Undirected,related to,Walter de Oxonia,Walter,Father-in-Law,Son-in-Law,,NA,NA
"Geoffrey, father-in-law of Turgiso","Turgis, Geoffrey's son-in-law",Undirected,related to,Galfrido,Turgiso,Father-in-Law,Son-in-Law,,NA,NA
Jordan Wille,Ralph Wille,Undirected,related to,Jordan,Ralph,Brother,Brother,,NA,NA
